"propertyaddresss","total_numproperties","avg_landvalue","avg_buildingvalue","avg_totalvalue"
"2800  MCGAVOCK PIKE","1","386400.0","12971800.0","13358200.0"
"4225  FRANKLIN PIKE","2","520000.0","5824300.0","6344300.0"
"540  JACKSON BLVD","1","1830700.0","3768000.0","5598700.0"
"4321  CHICKERING LN","1","777100.0","3563100.0","4340200.0"
"6123  HILLSBORO PIKE","1","500400.0","3456900.0","3957300.0"
"4410  TRUXTON PL","1","1083400.0","2493900.0","3577300.0"
"4333  CHICKERING LN","1","808500.0","2691500.0","3500000.0"
"4405  WARNER PL","1","953400.0","2389800.0","3343200.0"
"605  BELLE MEADE BLVD","1","1004400.0","2239600.0","3244000.0"
"874  CURTISWOOD LN","1","625000.0","2490600.0","3115600.0"
"4406  CHICKERING LN","1","1255500.0","1833700.0","3089200.0"
"411  ELLENDALE AVE","1","837800.0","2137500.0","2975300.0"
"1019  STONEWALL DR","1","295400.0","2673700.0","2969100.0"
"1800  CHICKERING RD","2","1392800.0","1488100.0","2880900.0"
"34  BANCROFT PL","1","386800.0","2472500.0","2859300.0"
"105  BELLE MEADE BLVD","1","1869000.0","943700.0","2812700.0"
"413  ELLENDALE AVE","1","780000.0","1981500.0","2761500.0"
"408  W BROOKFIELD AVE","1","837800.0","1916600.0","2754400.0"
"1224 OTTER CREEK  RD","1","451000.0","2301600.0","2752600.0"
"4400  CHICKERING LN","1","1174500.0","1574300.0","2748800.0"
