"saledate","avg_sales_trend"
"2013-11-09","13250.0"
"2015-04-11","26500.0"
"2016-04-03","31000.0"
"2014-03-08","39000.0"
"2013-08-10","39500.0"
"2014-06-14","48000.0"
"2014-02-15","53500.0"
"2013-07-07","54000.0"
"2014-02-01","55000.0"
"2014-02-22","66500.0"
"2014-04-26","73500.0"
"2014-10-19","75000.0"
"2016-05-01","76000.0"
"2015-05-23","83945.0"
"2013-04-13","85000.0"
"2015-02-14","87000.0"
"2015-08-01","87500.0"
"2014-09-13","88000.0"
"2015-03-07","90000.0"
"2016-07-02","90000.0"
"2014-06-29","96000.0"
"2016-01-18","96500.0"
"2013-01-03","99137.5"
"2013-06-16","100000.0"
"2013-01-08","102266.7"
"2014-09-01","103666.7"
"2016-06-25","104966.7"
"2015-10-17","107500.0"
"2016-02-20","109000.0"
"2015-01-03","109900.0"
"2013-03-02","110000.0"
"2013-03-09","110200.0"
"2015-05-30","113300.0"
"2013-09-15","115000.0"
"2016-02-27","115025.0"
"2013-02-18","115785.7"
"2013-01-09","117350.0"
"2013-08-11","117500.0"
"2015-05-16","118500.0"
"2019-12-13","118500.0"
"2019-05-16","118500.0"
"2016-01-02","118938.0"
"2013-08-04","120000.0"
"2016-07-09","121000.0"
"2013-08-24","122186.7"
"2013-10-26","123300.0"
"2014-10-04","123750.0"
"2016-05-14","128050.0"
"2013-02-05","129125.5"
"2013-03-25","130061.5"
"2013-01-04","130440.0"
"2015-11-11","132050.0"
"2015-12-05","132500.0"
"2013-01-16","133152.5"
"2014-06-01","134900.0"
"2014-02-05","134969.0"
"2016-03-12","135000.0"
"2015-04-05","135000.0"
"2014-12-06","135250.0"
"2014-05-24","137000.0"
"2015-03-28","139000.0"
"2014-08-02","140000.0"
"2015-01-19","140208.0"
"2013-01-17","141014.2"
"2013-04-23","141671.6"
"2013-12-24","141921.2"
"2013-10-03","144004.8"
"2013-02-20","144416.9"
"2014-10-25","145500.0"
"2014-01-20","145583.3"
"2015-11-27","150000.0"
"2014-02-08","150400.0"
"2013-10-24","151591.2"
"2014-01-28","152588.9"
"2016-02-15","153321.6"
"2013-12-26","153813.2"
"2013-01-24","155400.5"
"2014-03-11","155617.7"
"2014-10-13","156680.0"
"2014-11-28","156949.8"
"2014-03-19","157404.8"
"2013-05-05","157500.0"
"2016-10-09","157500.0"
"2015-08-15","159000.0"
"2013-11-23","159000.0"
"2015-06-28","160000.0"
"2014-04-03","160196.4"
"2013-02-08","161959.4"
"2014-04-02","162006.0"
"2013-05-07","162669.5"
"2013-05-06","163370.1"
"2013-04-21","163700.0"
"2013-01-28","163879.3"
"2013-08-31","164000.0"
"2014-03-12","164059.1"
"2014-02-04","164284.9"
"2014-10-23","164729.5"
"2016-10-23","165000.0"
"2015-03-18","166162.4"
"2013-11-04","166434.8"
"2013-04-28","167000.0"
"2014-04-14","167293.8"
"2014-01-02","168343.7"
"2016-03-05","170000.0"
"2014-01-08","170163.3"
"2014-10-11","171000.0"
"2013-03-19","171735.0"
"2014-03-04","171862.8"
"2013-10-12","172000.0"
"2013-11-07","172318.2"
"2014-03-06","172817.7"
"2014-04-22","173227.2"
"2014-11-11","173235.7"
"2016-01-27","173844.0"
"2013-11-11","174300.0"
"2013-07-23","174612.5"
"2014-01-14","174706.0"
"2015-07-04","174900.0"
"2013-06-01","175100.0"
"2013-11-14","175699.1"
"2013-04-05","177074.6"
"2013-08-22","178157.5"
"2013-07-18","178320.6"
"2013-03-13","179611.2"
"2013-08-21","179887.3"
"2013-04-09","179963.3"
"2014-10-07","180933.2"
"2013-03-18","181427.1"
"2015-09-26","182000.0"
"2013-12-23","182169.3"
"2014-01-03","182213.8"
"2013-03-21","182310.7"
"2013-12-13","182390.6"
"2013-01-07","183064.0"
"2013-05-02","183597.8"
"2013-06-10","183715.9"
"2013-10-11","183798.6"
"2013-01-15","184401.8"
"2013-02-11","184555.6"
"2013-11-29","184750.0"
"2015-08-22","184900.0"
"2013-04-20","185000.0"
"2013-05-04","185000.0"
"2016-05-28","185000.0"
"2015-03-04","185368.7"
"2013-11-27","185419.2"
"2014-07-08","185670.7"
"2013-08-20","185923.6"
"2013-08-03","186450.0"
"2013-09-10","187599.8"
"2014-05-07","188253.6"
"2013-04-11","188558.3"
"2013-03-28","188747.3"
"2013-09-17","189026.1"
"2015-03-02","189419.1"
"2013-02-22","189801.7"
"2013-09-28","190000.0"
"2013-07-03","190184.7"
"2013-03-20","190406.0"
"2013-09-11","190822.9"
"2013-08-16","191705.2"
"2014-02-11","191862.5"
"2015-10-08","192133.0"
"2013-02-06","192228.6"
"2014-08-19","192339.8"
"2016-07-28","192500.0"
"2016-08-21","193000.0"
"2014-02-12","193222.5"
"2013-06-20","193681.5"
"2013-08-05","193906.5"
"2014-01-09","193943.4"
"2013-10-02","194041.2"
"2013-12-17","194181.6"
"2015-03-03","194276.2"
"2013-08-12","194750.0"
"2014-09-07","194900.0"
"2016-07-10","195000.0"
"2014-05-16","195012.1"
"2013-04-16","195465.0"
"2014-10-16","196516.6"
"2015-08-29","196633.3"
"2013-05-08","196738.4"
"2013-03-06","196982.9"
"2013-09-06","197161.6"
"2014-03-20","197169.1"
"2014-07-22","197350.8"
"2015-09-12","197500.0"
"2013-02-16","198000.0"
"2013-11-19","198014.3"
"2015-10-06","198101.4"
"2013-10-17","198428.0"
"2013-08-08","198514.8"
"2014-04-16","198634.3"
"2013-03-27","198997.9"
"2013-08-09","199196.2"
"2014-01-29","199252.6"
"2016-02-02","199388.0"
"2014-01-06","199842.1"
"2014-10-18","199900.0"
"2015-01-04","200000.0"
"2013-12-04","200289.2"
"2015-02-24","200401.8"
"2015-04-09","200427.7"
"2015-08-11","200438.7"
"2013-04-24","200490.4"
"2013-04-08","201227.1"
"2013-07-15","201482.9"
"2015-04-21","201633.9"
"2015-03-25","201844.7"
"2015-05-09","202000.0"
"2015-07-11","202200.0"
"2014-10-21","202280.1"
"2014-08-04","202386.4"
"2014-05-05","202413.9"
"2013-02-07","202668.7"
"2014-09-16","203033.5"
"2015-03-19","203513.7"
"2015-12-02","203683.8"
"2014-12-24","204166.7"
"2014-05-27","204273.2"
"2013-10-18","204410.0"
"2013-12-10","204579.3"
"2014-01-15","204849.8"
"2013-11-20","205063.4"
"2013-11-26","205325.7"
"2013-04-18","205511.6"
"2013-06-11","205990.0"
"2014-10-27","206037.6"
"2013-11-06","206051.5"
"2014-11-06","206083.1"
"2014-02-17","206300.0"
"2015-08-26","206521.2"
"2013-07-25","206823.9"
"2013-05-20","207026.6"
"2015-02-20","207241.3"
"2015-03-21","207500.0"
"2015-01-05","207516.2"
"2014-07-09","207520.8"
"2015-01-22","207584.4"
"2013-07-26","207602.0"
"2013-04-02","207690.9"
"2016-02-01","207927.3"
"2014-06-03","208215.0"
"2014-07-25","208276.3"
"2013-07-30","208632.0"
"2014-06-18","208725.3"
"2016-02-10","208958.8"
"2013-10-23","209124.5"
"2014-08-21","209136.7"
"2014-09-11","209208.0"
"2014-02-25","209217.8"
"2013-07-31","209454.4"
"2016-04-23","210000.0"
"2014-08-16","210000.0"
"2016-03-03","210126.6"
"2016-01-05","210352.7"
"2014-10-14","210560.7"
"2013-05-09","211196.8"
"2015-10-12","211250.0"
"2013-05-14","211296.3"
"2013-05-21","211336.1"
"2014-03-27","211859.8"
"2013-11-22","212227.1"
"2015-09-23","212383.2"
"2013-12-09","212406.6"
"2013-04-22","212488.4"
"2014-02-28","212854.4"
"2013-11-25","213016.1"
"2014-08-11","213568.7"
"2013-12-12","213853.8"
"2015-11-26","214000.0"
"2013-05-23","214029.9"
"2013-07-09","214117.3"
"2013-09-16","214213.2"
"2014-03-21","214402.3"
"2013-07-22","214650.0"
"2013-07-29","214887.9"
"2013-09-14","215000.0"
"2015-02-09","215021.7"
"2013-04-30","215087.9"
"2014-11-25","215361.3"
"2013-02-12","215415.7"
"2013-01-14","215516.1"
"2015-12-10","215533.6"
"2013-01-30","215600.2"
"2015-10-09","215911.5"
"2015-10-14","215931.3"
"2014-02-26","216293.5"
"2014-01-16","216368.8"
"2013-01-23","216455.3"
"2016-02-25","216461.0"
"2014-01-10","216782.7"
"2013-10-09","216882.0"
"2014-03-14","217413.0"
"2014-09-05","217480.7"
"2013-09-25","217484.5"
"2015-02-05","217763.7"
"2014-10-10","217986.8"
"2015-03-13","218078.1"
"2014-09-22","218296.9"
"2014-04-29","218392.6"
"2014-05-12","218747.7"
"2013-10-08","218769.9"
"2014-12-03","219059.5"
"2013-10-31","219268.8"
"2014-10-06","219445.4"
"2015-09-02","219445.4"
"2014-11-26","219487.5"
"2013-04-10","219499.3"
"2013-03-15","219521.8"
"2013-04-26","219852.4"
"2013-09-04","219858.3"
"2013-06-24","220037.1"
"2013-06-21","220194.5"
"2013-08-07","220404.2"
"2014-08-01","220632.9"
"2015-11-25","220941.6"
"2013-07-02","221144.2"
"2013-04-25","221187.0"
"2013-09-12","221243.6"
"2014-12-09","221308.8"
"2013-05-22","221481.6"
"2015-02-11","221518.4"
"2014-01-17","221725.3"
"2014-05-09","221897.2"
"2015-05-27","221962.1"
"2015-10-27","221972.7"
"2014-01-21","222368.0"
"2013-08-02","222492.1"
"2013-12-27","222560.5"
"2013-01-11","223035.7"
"2014-01-24","223220.4"
"2016-04-25","223352.5"
"2014-03-26","223365.6"
"2015-02-10","223507.5"
"2016-10-13","223567.2"
"2013-08-27","223606.1"
"2016-03-02","223776.6"
"2013-10-22","224187.2"
"2014-07-21","224472.4"
"2015-01-16","224527.1"
"2015-12-08","224766.5"
"2015-11-13","224954.4"
"2015-04-16","225040.4"
"2014-01-23","225142.5"
"2016-03-22","225224.3"
"2013-06-27","225425.8"
"2014-09-29","225583.4"
"2014-07-07","225689.8"
"2013-03-08","225794.4"
"2015-04-02","225802.5"
"2013-09-26","225828.0"
"2015-09-03","225854.2"
"2015-10-03","225900.0"
"2014-08-28","225987.9"
"2013-06-19","226174.9"
"2013-03-14","226548.7"
"2015-12-28","226913.4"
"2013-03-22","226948.0"
"2015-03-11","226959.7"
"2014-12-31","227324.3"
"2014-11-10","227417.8"
"2015-11-05","227450.5"
"2013-07-11","227467.4"
"2014-12-11","227479.2"
"2013-09-13","227649.6"
"2013-03-26","227652.2"
"2014-08-06","227718.6"
"2013-05-29","227760.8"
"2013-02-13","227895.1"
"2016-10-04","227994.2"
"2015-07-22","228062.7"
"2015-09-28","228479.5"
"2014-08-12","228821.6"
"2013-12-18","229081.7"
"2014-11-14","229139.5"
"2014-08-20","229154.9"
"2014-05-19","229188.5"
"2013-06-08","229250.0"
"2014-07-03","229459.9"
"2013-05-17","229659.3"
"2014-08-23","229750.0"
"2016-06-26","229900.0"
"2015-06-16","229986.1"
"2015-04-10","230349.9"
"2014-02-19","230423.9"
"2014-07-15","230843.4"
"2015-11-24","230862.9"
"2015-04-07","231028.5"
"2013-11-21","231351.8"
"2014-09-18","231701.4"
"2014-02-14","231852.7"
"2014-01-27","232088.3"
"2013-02-04","232189.4"
"2014-09-10","232240.1"
"2015-09-24","232416.1"
"2013-04-17","232490.0"
"2015-07-07","232522.0"
"2014-03-10","232906.2"
"2015-12-31","233076.0"
"2014-04-04","233260.3"
"2015-12-04","233297.2"
"2013-03-05","233360.0"
"2013-09-27","233380.0"
"2013-06-04","233490.0"
"2013-08-13","233603.8"
"2014-05-13","233608.6"
"2015-09-08","233635.2"
"2016-04-13","233648.0"
"2013-07-19","233730.7"
"2014-05-21","233752.9"
"2013-06-03","233831.4"
"2014-04-28","233845.8"
"2015-01-07","234158.3"
"2015-07-28","234237.3"
"2014-11-05","234328.0"
"2013-03-12","234545.9"
"2015-01-08","234613.5"
"2016-03-23","234733.3"
"2016-01-13","234841.4"
"2013-03-04","234899.3"
"2015-04-01","235177.4"
"2015-08-19","235234.7"
"2014-08-29","235236.0"
"2014-09-03","235238.0"
"2015-10-21","235263.4"
"2013-04-03","235266.1"
"2015-05-06","235346.3"
"2016-01-14","235495.1"
"2014-03-05","235622.3"
"2014-12-22","235722.2"
"2015-03-05","235816.0"
"2016-04-12","235936.4"
"2016-07-26","235972.7"
"2013-05-24","235993.2"
"2014-02-24","236292.1"
"2015-04-13","236503.1"
"2015-12-09","236512.3"
"2015-01-26","236612.4"
"2013-10-29","236657.6"
"2015-10-19","236721.1"
"2015-11-18","237468.1"
"2013-09-05","237753.4"
"2013-12-19","237789.6"
"2014-05-08","237862.1"
"2014-09-24","237946.7"
"2015-11-06","237977.2"
"2014-03-24","238107.9"
"2014-12-05","238183.6"
"2015-09-10","238414.2"
"2016-04-21","238621.9"
"2013-07-17","239083.0"
"2013-01-18","239142.9"
"2014-06-27","239440.8"
"2014-10-31","239501.8"
"2013-04-15","239534.5"
"2015-04-27","239576.4"
"2013-06-06","239814.9"
"2014-10-02","239817.9"
"2015-04-23","239872.6"
"2014-06-24","240058.3"
"2014-10-03","240105.6"
"2016-04-07","240219.6"
"2013-06-05","240369.7"
"2014-08-18","240484.9"
"2014-05-29","240505.6"
"2014-11-21","240632.0"
"2014-09-17","240666.9"
"2016-04-19","240771.0"
"2014-03-28","240821.6"
"2013-02-26","241155.0"
"2014-04-21","241232.6"
"2015-06-10","241295.9"
"2013-06-14","241408.7"
"2013-08-14","241417.6"
"2015-02-13","241976.4"
"2015-07-17","241994.6"
"2014-05-17","242000.0"
"2015-04-14","242208.3"
"2014-10-17","242297.8"
"2015-11-03","242719.6"
"2014-07-17","242839.6"
"2014-02-20","243138.2"
"2013-08-30","243171.4"
"2014-09-26","243396.5"
"2016-10-10","243409.1"
"2014-09-09","243510.6"
"2015-03-30","243609.4"
"2015-12-16","243668.7"
"2013-05-15","243743.8"
"2014-07-24","243932.5"
"2014-11-18","243983.1"
"2015-08-12","244266.6"
"2014-10-24","244308.4"
"2016-03-28","244419.4"
"2014-10-09","244640.2"
"2013-09-23","244683.3"
"2014-07-01","244802.1"
"2013-11-08","245163.1"
"2015-11-02","245200.6"
"2013-12-15","245500.0"
"2015-03-06","245546.0"
"2015-02-04","245825.2"
"2015-07-06","246052.1"
"2013-02-25","246125.5"
"2014-02-07","246143.4"
"2016-02-04","246220.7"
"2015-11-10","246244.4"
"2015-10-13","246284.8"
"2014-04-11","246418.9"
"2016-03-10","246458.9"
"2016-02-08","246603.3"
"2016-08-05","246642.3"
"2016-07-19","247295.1"
"2015-12-11","247352.0"
"2014-03-31","247577.0"
"2014-05-23","247682.3"
"2013-10-30","247819.0"
"2013-05-13","247919.0"
"2016-09-27","248152.6"
"2015-02-18","248293.9"
"2014-03-13","248595.5"
"2014-09-02","248607.2"
