"year_group","avg_saleprice"
"Before 1900","1550000"
"1911-1920","912000"
"2011-2020","757753"
"2001-2010","678450"
"2001-2010","653528"
"1911-1920","650500"
"2001-2010","620339"
"Before 1900","617500"
"2001-2010","610705"
"2001-2010","593699"
"1900-1910","580000"
"Before 1900","567450"
"2001-2010","560486"
"2011-2020","556765"
"2001-2010","555835"
"Before 1900","549500"
"1911-1920","507618"
"Before 1900","500000"
"1921-1930","481128"
"1931-1940","477059"
"1931-1940","462936"
"1900-1910","448924"
"1921-1930","437864"
"Before 1900","433207"
"2011-2020","419734"
"1911-1920","415000"
"1921-1930","406631"
"1911-1920","405333"
"2011-2020","403980"
"1931-1940","396353"
"2011-2020","394175"
"1921-1930","393413"
"1900-1910","391667"
"1911-1920","381863"
"1900-1910","380000"
"1921-1930","379288"
"1900-1910","373750"
"1900-1910","368000"
"1921-1930","366031"
"2011-2020","365260"
"1991-2000","359814"
"2011-2020","359450"
"1941-1950","352366"
"1900-1910","351785"
"1931-1940","349973"
"2001-2010","348095"
"1991-2000","343190"
"1991-2000","339753"
"2001-2010","335336"
"1911-1920","333692"
"1991-2000","329076"
"1900-1910","323500"
"1911-1920","321293"
"1921-1930","317143"
"1921-1930","313067"
"1941-1950","312969"
"1931-1940","311190"
"1921-1930","310857"
"1931-1940","307629"
"1911-1920","307089"
"1991-2000","303772"
"1900-1910","303458"
"Before 1900","302783"
"1921-1930","300268"
"1931-1940","298561"
"1991-2000","297485"
"1941-1950","294244"
"1931-1940","292521"
"1941-1950","290606"
"1991-2000","284703"
"Before 1900","279900"
"1951-1960","274841"
"1941-1950","274762"
"1981-1990","274027"
"1941-1950","267936"
"1911-1920","267304"
"1931-1940","265042"
"1971-1980","262130"
"1951-1960","261924"
"1991-2000","255449"
"1951-1960","251160"
"1971-1980","251106"
"1961-1970","250624"
"1981-1990","250479"
"1961-1970","249757"
"1951-1960","248906"
"1961-1970","247402"
"2001-2010","247384"
"1951-1960","246227"
"1951-1960","243955"
"1971-1980","242110"
"1961-1970","241015"
"1941-1950","240254"
"1971-1980","240000"
"1951-1960","239619"
"1941-1950","238178"
"1951-1960","237400"
"1931-1940","237225"
"1941-1950","236558"
"1991-2000","235986"
"1961-1970","234747"
"1951-1960","232072"
"1961-1970","231310"
"1961-1970","230775"
"1951-1960","230005"
"1961-1970","229447"
"1991-2000","227456"
"1981-1990","222020"
"1941-1950","220488"
"1961-1970","219313"
"1961-1970","217624"
"1900-1910","216750"
"1971-1980","209905"
"1971-1980","203567"
"1981-1990","199768"
"1981-1990","199479"
"1971-1980","188778"
"1981-1990","187830"
"1971-1980","186069"
"1971-1980","181192"
"1971-1980","169842"
"1981-1990","167530"
"1981-1990","165758"
"1981-1990","159792"
"1981-1990","148728"
"Before 1900","80000"
